user_id,order_id,amount,time_diff,order_time,device_type
U000000,O00000000,2.28,24.533307970627117,16,iOS
U000001,O00000001,14.45,102.50544041834128,11,iOS
U000002,O00000002,1.0,121.205050935197,10,iOS
U000003,O00000003,3400.0,24.490681435730764,20,PC
U000004,O00000004,27.39,42.69414662045404,14,PC
U000005,O00000005,7.18,68.78453623084779,23,PC
U000006,O00000006,9.99,61.7663794374506,12,iOS
U000007,O00000007,14.9,44.43033866048709,8,PC
U000008,O00000008,1.0,31.79720839675745,15,iOS
U000009,O00000009,75.34,9.480935138079332,18,PC
U000010,O00000010,9.99,4.947189670224462,8,Android
U000011,O00000011,121.0,286.4756049210214,16,iOS
U000012,O00000012,9.99,169.04280400597153,8,H5
U000013,O00000013,49.99,39.45221833121058,11,Android
U000014,O00000014,62.59,282.7741745682285,17,Android
U000015,O00000015,23.35,101.64517552541705,11,Android
U000016,O00000016,1.0,59.290761335696,18,H5
U000017,O00000017,79.99,61.136539534486246,21,H5
U000018,O00000018,12.52,7.826220792770866,16,H5
U000019,O00000019,10.93,8.656661199699426,8,PC
U000020,O00000020,418.08,83.01705676600449,17,PC
U000021,O00000021,78.76,72.60936719351317,20,Android
U000022,O00000022,9.99,21.52632066037374,16,H5
U000023,O00000023,2.12,263.014234517933,23,Android
U000024,O00000024,30.3,136.8032663111303,11,Android
U000025,O00000025,5.99,10.83908018004278,14,H5
U000026,O00000026,11.99,240.53596632422256,16,PC
U000027,O00000027,112.74,329.3325974531843,18,Android
U000028,O00000028,1.0,495.3975743931875,14,Android
U000029,O00000029,1.0,5.174337011500999,9,iOS
U000030,O00000030,187.7,120.21628075814596,13,H5
U000031,O00000031,1.98,71.05253128902729,20,Android
U000032,O00000032,91.88,110.12422425881728,13,H5
U000033,O00000033,20.0,311.6342720313148,10,iOS
U000034,O00000034,4.9,1.605553165047353,6,Android
U000035,O00000035,1.0,163.2405125057593,13,iOS
U000036,O00000036,53.0,181.47775136276564,18,iOS
U000037,O00000037,75.0,164.081793023272,13,PC
U000038,O00000038,108.35,49.97567336001032,8,Android
U000039,O00000039,8.99,22.65929334217353,17,Android
U000040,O00000040,24.0,45.47344271089499,15,H5
U000041,O00000041,20.0,200.2202962907686,16,H5
U000042,O00000042,112.52,14.267930240082276,9,iOS
U000043,O00000043,11.5,64.81450180721556,11,iOS
U000044,O00000044,21.5,23.90092904878033,18,H5
U000045,O00000045,1.0,78.35521898219146,13,H5
U000046,O00000046,5.99,178.99073766708713,9,H5
U000047,O00000047,1.99,191.0941004778749,18,iOS
U000048,O00000048,139.38,24.30762683361673,14,H5
U000049,O00000049,7.57,214.43786576024647,13,iOS
U000050,O00000050,10.1,80.6593898507526,15,Android
U000051,O00000051,54.99,38.80068629653687,22,Android
U000052,O00000052,1.0,110.84599819288866,14,iOS
U000053,O00000053,108.96,59.14236266132084,23,iOS
U000054,O00000054,1.0,42.731571138304446,17,iOS
U000055,O00000055,1.51,109.89593497883068,8,iOS
U000056,O00000056,52.0,25.738415127352983,17,PC
U000057,O00000057,1.0,36.07690919660086,17,Android
U000058,O00000058,1.0,51.29638482746307,12,Android
U000059,O00000059,15.17,26.334335621095168,13,PC
U000060,O00000060,25.66,46.75802154995125,21,H5
U000061,O00000061,348.0,76.26614321208791,14,iOS
U000062,O00000062,78.2,121.57436693251462,11,iOS
U000063,O00000063,599.1,131.17981092561817,21,H5
U000064,O00000064,1.29,155.73796151804254,16,Android
U000065,O00000065,214.9,122.70644652712522,8,PC
U000066,O00000066,21.6,102.8419001775875,10,iOS
U000067,O00000067,137.94,24.404513172977595,17,Android
U000068,O00000068,29.85,46.00774628143536,9,Android
U000069,O00000069,1.0,58.4587488736446,21,Android
U000070,O00000070,41.32,7.787636882253566,9,PC
U000071,O00000071,40.0,67.64046806680733,8,PC
U000072,O00000072,2.69,51.59669858490896,20,PC
U000073,O00000073,1.0,145.80361469933766,10,PC
U000074,O00000074,55.06,343.0987138161477,17,PC
U000075,O00000075,9.99,73.07478584175726,12,PC
U000076,O00000076,44.99,35.06587883345879,13,H5
U000077,O00000077,24.98,3.993368991472377,15,Android
U000078,O00000078,227.75,232.6970556500042,11,Android
U000079,O00000079,79.5,226.32621564558707,8,H5
U000080,O00000080,10.0,26.25092387462492,19,iOS
U000081,O00000081,19.65,106.99131206531104,23,H5
U000082,O00000082,73.85,7.058828923991585,16,iOS
U000083,O00000083,16.8,16.3602199470041,10,iOS
U000084,O00000084,1.0,21.994093371791877,15,H5
U000085,O00000085,7.84,31.395593499101174,21,H5
U000086,O00000086,16.63,493.2152136722745,11,PC
U000087,O00000087,6.03,107.43976473056172,18,H5
U000088,O00000088,4.57,43.63524157319574,22,PC
U000089,O00000089,1.0,120.2385808876065,22,H5
U000090,O00000090,377.0,222.12906868510493,10,H5
U000091,O00000091,1.0,286.8255964314902,10,iOS
U000092,O00000092,56.65,5.364497936863945,11,H5
U000093,O00000093,22.13,45.156304587724655,11,iOS
U000094,O00000094,1034.19,10.16060156656991,23,PC
U000095,O00000095,69.38,36.80651789106506,19,H5
U000096,O00000096,40.0,16.734959512313317,22,PC
U000097,O00000097,32.4,93.67719695497864,14,H5
U000098,O00000098,1.78,44.231546572737976,9,H5
U000099,O00000099,17.99,23.45211255299356,15,Android
U000100,O00000100,2.0,27.824551474511743,18,H5
U000101,O00000101,1.0,40.214381338198905,21,iOS
U000102,O00000102,253.3,27.093360796146055,9,PC
U000103,O00000103,10.5,54.33721906604245,8,Android
U000104,O00000104,1.0,2.956467668281805,15,Android
U000105,O00000105,14.26,29.535809277474304,22,PC
U000106,O00000106,19.99,47.67121135416506,11,PC
U000107,O00000107,10.0,83.09427602489762,13,Android
U000108,O00000108,122.07,28.44211006040844,23,H5
U000109,O00000109,95.44,12.86368640135053,20,Android
U000110,O00000110,7.69,7.133408270663695,8,H5
U000111,O00000111,734.51,254.0082617445812,10,PC
U000112,O00000112,136.38,48.50542550353664,14,H5
U000113,O00000113,1.0,78.32452965963442,14,H5
U000114,O00000114,3.2,226.39393399500207,18,H5
U000115,O00000115,6.29,7.773614392186686,15,iOS
U000116,O00000116,12.49,188.35403011984064,23,H5
U000117,O00000117,134.63,72.18382878756127,21,iOS
U000118,O00000118,174.0,16.21125757543147,9,H5
U000119,O00000119,76.22,47.678609185212,14,H5
U000120,O00000120,2.12,135.2959186726865,11,iOS
U000121,O00000121,1.79,58.91745750113245,22,H5
U000122,O00000122,108.95,379.7063370748401,13,H5
U000123,O00000123,254.47,42.55108731741141,11,iOS
U000124,O00000124,52.52,124.61480838663005,22,iOS
U000125,O00000125,1.0,44.928819524817136,16,iOS
U000126,O00000126,1.29,159.03472850321913,21,iOS
U000127,O00000127,12.0,75.76526072988183,8,H5
U000128,O00000128,8.52,5.905654999283335,8,H5
U000129,O00000129,142.68,3.3765217016180524,23,PC
U000130,O00000130,5.0,12.932965933962208,12,H5
U000131,O00000131,10.0,1.2389658152648475,12,Android
U000132,O00000132,3.99,7.051481116425332,18,Android
U000133,O00000133,287.52,105.90557793747608,15,Android
U000134,O00000134,587.35,68.78817004853217,14,H5
U000135,O00000135,153.71,124.7343680438885,18,Android
U000136,O00000136,3.84,219.93787583011047,10,H5
U000137,O00000137,59.29,79.1853428284591,15,iOS
U000138,O00000138,12.33,116.55614759741576,21,H5
U000139,O00000139,435.7,127.35252506437654,11,PC
U000140,O00000140,924.27,42.71174465652171,10,H5
U000141,O00000141,25.0,24.82787487449849,9,Android
U000142,O00000142,196.0,20.652316464840748,16,iOS
U000143,O00000143,29.0,26.06464592634166,21,iOS
U000144,O00000144,5.2,28.909238165992495,19,iOS
U000145,O00000145,36.95,20.8997254539727,14,PC
U000146,O00000146,15.0,189.49901596573184,12,PC
U000147,O00000147,41.77,127.32212379062383,16,PC
U000148,O00000148,1.0,4.322856872182597,10,Android
U000149,O00000149,11.53,28.16044907109374,20,Android
U000150,O00000150,30.0,2.019107211502252,20,PC
U000151,O00000151,277.24,62.05358434545852,20,H5
U000152,O00000152,55.0,58.199919176791006,23,PC
U000153,O00000153,155.8,160.20514346604034,13,PC
U000154,O00000154,15.0,33.10627205883394,15,PC
U000155,O00000155,1.0,152.5426298006292,16,iOS
U000156,O00000156,19.99,309.7079893848544,11,Android
U000157,O00000157,149.6,8.330670221047702,8,iOS
U000158,O00000158,4.31,141.2407629688106,15,H5
U000159,O00000159,9.99,80.23415014006346,17,H5
U000160,O00000160,201.0,58.861338248381365,10,Android
U000161,O00000161,5.95,49.10862228179154,13,H5
U000162,O00000162,112.2,138.20179334338692,23,iOS
U000163,O00000163,33.6,91.7890929739336,11,iOS
U000164,O00000164,201.6,147.14863297735116,13,iOS
U000165,O00000165,12.99,210.11425382561907,19,H5
U000166,O00000166,39.99,86.43681632621578,10,PC
U000167,O00000167,2.23,354.188799390953,14,iOS
U000168,O00000168,1.29,84.3045813253231,9,iOS
U000169,O00000169,120.0,91.11357847763588,12,PC
U000170,O00000170,6.99,72.83400478326055,10,PC
U000171,O00000171,112.75,8.587123667442548,23,Android
U000172,O00000172,1.0,116.64695229443132,12,H5
U000173,O00000173,478.06,71.35639776855534,10,iOS
U000174,O00000174,77.15,53.95443581830422,16,Android
U000175,O00000175,133.62,217.18762141384784,15,H5
U000176,O00000176,1636.92,31.83877037593753,21,Android
U000177,O00000177,258.32,66.73519971376335,9,H5
